"","StuNum","avgYearPack","numYearAward","SexCode","MaritalCode","LeadCategoryCode","PrevEdCode","AdmRepName","ProgramCode","CitizenCode","IsHispanic","DDVeteran","cancelFlag.x"
"75","10505",19570,1,"F","M","INTINT","HS","09","2","US","2","0","0"
"76","10283",39882.125,2,"F","S","REF","SOMECOLL","15","2","US","2","0","0"
"77","11056",16608.07,1,"F","S","INTINT","SOMECOLL","18","2","US","2","0","0"
"78","11116",26563,1,"F","S","RADIO","ASSOC","31","2","US","2","0","0"
"79","11324",45052.5,2,"F","M","RADIO","SOMECOLL","15","2","US","2","0","0"
"80","11334",16699,1,"M","D","RADIO","HS","15","2","US","2","0","0"
"81","12132",14582,1,"F","S","REF","HS","15","2","US","2","0","0"
"82","11654",31114.8333333333,3,"F","S","RADIO","SOMECOLL","15","2","US","1","0","0"
"83","10006",29790.25,4,"F","S","PRINT","SOMECOLL","15","2","US","2","0","0"
"84","10437",13005,1,"F","S","REF","SOMECOLL","05","2","US","2","0","0"
"85","11341",33262.3333333333,3,"F","M","REF","SOMECOLL","01","2","US","2","0","0"
"86","10111",19847.5,2,"M","M","REF","SOMECOLL","15","2","US","1","0","0"
"87","11957",29516.3333333333,3,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"88","11526",28458,1,"F","M","REF","SOMECOLL","13","2","US","2","0","0"
"89","10267",40601,2,"F","S","REF","HS","07","1","US","2","0","0"
"90","10087",29935.93,3,"M","S","INTINT","HS","15","1","ELNC","2","0","0"
"91","12011",23456,3,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"92","11196",28571.445,2,"F","M","REF","SOMECOLL","07","2","US","2","0","0"
"93","11002",27764.3333333333,3,"F","S","REF","SOMECOLL","07","2","US","2","0","0"
"94","11640",22477.8625,4,"F","S","PPC","BACH","15","2","US","2","0","0"
"95","10472",28119,1,"F","S","REF","ASSOC","31","2","US","2","0","0"
"96","11127",18323,1,"F","M","INTER","HS","03","2","US","2","0","0"
"97","11096",12906.65,1,"F","S","INTINT","SOMECOLL","13","1","US","2","0","0"
"98","10589",24445.3333333333,3,"F","S","INTINT","ASSOC","14","2","US","2","0","0"
"99","10575",27742,1,"F","M","REF","SOMECOLL","15","2","ELNC","2","0","0"
"100","10151",25940.25,4,"M","M","REF","HS","15","2","US","1","0","0"
"101","11704",23608,4,"F","S","REF","HS","03","2","US","1","0","0"
"102","10584",33635.66,2,"F","S","INTINT","SOMECOLL","01","1","US","2","0","0"
"103","11230",27173.7333333333,3,"F","D","RADIO","HS","15","2","US","2","0","0"
"104","10668",24920.6666666667,3,"F","S","REF","SOMECOLL","15","2","US","1","0","0"
"105","10879",25477.4,3,"F","M","REF","SOMECOLL","15","2","US","2","0","0"
"106","10835",24537.0966666667,3,"F","M","REF","ASSOC","09","2","US","1","0","0"
